In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 38.42795443534851 30 31 45.02201422055562 1715401301
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 41.33106255531311 31 33 44.41691880072316 1715401342
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 41.84456920623779 33 34 44.17320251674595 1715401384
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 43.69380569458008 34 34 43.008885861491876 1715401428
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 43.57975625991821 34 33 42.076306196329035 1715401471
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 40.71523952484131 33 32 41.530212099998664 1715401512
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 40.209529638290405 32 32 41.122725812419986 1715401552
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 39.875338554382324 32 32 40.666127725355196 1715401592
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 39.91754508018494 32 32 40.27073313986876 1715401632
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 40.04239559173584 32 32 40.27073313986876 1715401672
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 39.598496198654175 32 32 40.27073313986876 1715401712
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 39.53775429725647 32 32 39.934614669261464 1715401751
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 38.74293303489685 32 32 39.934614669261464 1715401790
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 39.25750541687012 32 32 39.33877385207916 1715401829
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 40.10502219200134 32 32 39.33877385207916 1715401869
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 40.06410050392151 32 31 38.48058870885149 1715401909
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 38.282278060913086 31 30 38.00549478037403 1715401948
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 36.62262010574341 30 30 38.00549478037403 1715401984
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 36.79619216918945 30 30 37.314057443058715 1715402021
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 38.193366050720215 30 30 37.055124806124084 1715402059
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 37.09938287734985 30 29 36.37010391414141 1715402096
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 36.69594621658325 29 28 35.46802810623716 1715402133
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 35.3385112285614 28 27 34.793344762788415 1715402169
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 33.39221453666687 27 26 33.76718992176102 1715402202
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 31.451046466827393 26 26 33.76718992176102 1715402233
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 31.831645727157593 26 26 32.60911819429421 1715402265
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 31.215858221054077 26 26 32.2203819607259 1715402296
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 31.576571464538574 26 26 31.718120090889986 1715402328
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 32.039533853530884 26 26 31.718120090889986 1715402360
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 31.86299204826355 26 26 31.718120090889986 1715402392
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 31.278615951538086 26 26 31.718120090889986 1715402423
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 31.82796812057495 26 26 31.718120090889986 1715402455
In Schedule loop(deviceID, elapsedTime, batchSize, nextBatchSize, predictTime):  dev_cojrb7747v2jfooqat6g 14.799058198928833 12 16 30.938634354103566 1715402470
